cell | V (mV),INa | xina (nA_per_nF)
17.7486,-6.46E-10
17.7366,-6.38E-10
17.7247,-6.27E-10
17.7128,-6.11E-10
17.7009,-5.91E-10
17.6891,-5.67E-10
17.6773,-5.40E-10
17.6655,-5.10E-10
17.6538,-4.77E-10
17.6422,-4.41E-10
17.6305,-4.03E-10
17.619,-3.63E-10
17.6074,-3.22E-10
17.5959,-2.74E-10
17.5845,-2.23E-10
17.573,-1.72E-10
17.5617,-1.19E-10
17.5503,-6.62E-11
17.539,-1.37E-11
17.5278,3.80E-11
17.5166,8.83E-11
17.5054,1.36E-10
17.4943,1.82E-10
17.4832,2.24E-10
17.4721,2.61E-10
17.4611,2.94E-10
17.4501,3.20E-10
17.4392,3.40E-10
17.4283,3.51E-10
17.4174,3.54E-10
17.4066,3.48E-10
17.3958,3.30E-10
17.385,3.41E-10
17.3743,3.57E-10
17.3637,3.71E-10
17.353,3.83E-10
17.3424,3.92E-10
17.3319,3.97E-10
17.3214,4.01E-10
17.3109,4.01E-10
17.3004,3.98E-10
17.29,3.93E-10
17.2797,3.85E-10
17.2693,3.74E-10
17.259,3.61E-10
17.2488,3.44E-10
17.2386,3.26E-10
17.2284,3.05E-10
17.2182,2.81E-10
17.2081,2.56E-10
17.198,2.29E-10
17.188,2.00E-10
17.178,1.71E-10
17.168,1.40E-10
17.1581,1.09E-10
17.1482,7.74E-11
17.1383,4.56E-11
17.1285,1.40E-11
17.1187,-1.71E-11
17.109,-4.71E-11
17.0992,-7.57E-11
17.0895,-1.02E-10
17.0799,-1.27E-10
17.0703,-1.48E-10
17.0607,-1.66E-10
17.0511,-1.81E-10
17.0416,-1.90E-10
17.0322,-1.95E-10
17.0227,-1.93E-10
17.0133,-1.86E-10
17.0039,-1.92E-10
16.9946,-2.05E-10
16.9853,-2.17E-10
16.976,-2.27E-10
16.9667,-2.35E-10
16.9575,-2.42E-10
16.9484,-2.47E-10
16.9392,-2.50E-10
16.9301,-2.51E-10
16.921,-2.51E-10
16.912,-2.48E-10
16.903,-2.44E-10
16.894,-2.37E-10
16.885,-2.29E-10
16.8761,-2.19E-10
16.8672,-2.07E-10
16.8584,-1.93E-10
16.8496,-1.77E-10
16.8408,-1.59E-10
16.832,-1.42E-10
16.8233,-1.25E-10
16.8146,-1.07E-10
16.8059,-8.84E-11
16.7973,-6.95E-11
16.7887,-5.03E-11
16.7801,-3.11E-11
16.7716,-1.20E-11
16.7631,6.56E-12
16.7546,2.44E-11
16.7461,4.14E-11
16.7377,5.70E-11
16.7293,7.11E-11
16.721,8.33E-11
16.7127,9.33E-11
16.7044,1.01E-10
16.6961,1.05E-10
16.6879,1.06E-10
16.6797,1.03E-10
16.6715,1.07E-10
16.6633,1.17E-10
16.6552,1.26E-10
16.6471,1.34E-10
16.6391,1.41E-10
16.631,1.47E-10
16.623,1.51E-10
16.6151,1.55E-10
16.6071,1.58E-10
16.5992,1.59E-10
16.5913,1.59E-10
16.5835,1.57E-10
16.5757,1.55E-10
16.5679,1.51E-10
16.5601,1.45E-10
16.5523,1.38E-10
16.5446,1.30E-10
16.5369,1.20E-10
16.5293,1.09E-10
16.5216,9.82E-11
16.514,8.84E-11
16.5065,7.80E-11
16.4989,6.72E-11
16.4914,5.60E-11
16.4839,4.45E-11
16.4764,3.29E-11
16.469,2.13E-11
16.4616,9.89E-12
16.4542,-1.23E-12
16.4468,-1.19E-11
16.4395,-2.18E-11
16.4322,-3.10E-11
16.4249,-3.91E-11
16.4177,-4.59E-11
16.4105,-5.13E-11
16.4033,-5.49E-11
16.3961,-5.66E-11
16.3889,-5.61E-11
16.3818,-5.87E-11
16.3747,-6.56E-11
16.3676,-7.21E-11
16.3606,-7.80E-11
16.3536,-8.33E-11
16.3466,-8.80E-11
16.3396,-9.21E-11
16.3327,-9.54E-11
16.3258,-9.80E-11
16.3189,-9.98E-11
16.312,-1.01E-10
16.3052,-1.01E-10
16.2984,-9.99E-11
16.2916,-9.81E-11
16.2848,-9.53E-11
16.2781,-9.14E-11
16.2713,-8.66E-11
16.2647,-8.06E-11
16.258,-7.35E-11
16.2513,-6.68E-11
16.2447,-6.13E-11
16.2381,-5.53E-11
16.2316,-4.90E-11
16.225,-4.24E-11
16.2185,-3.56E-11
16.212,-2.87E-11
16.2055,-2.17E-11
16.1991,-1.47E-11
16.1926,-7.85E-12
16.1862,-1.21E-12
16.1799,5.10E-12
16.1735,1.10E-11
16.1672,1.63E-11
16.1609,2.09E-11
16.1546,2.47E-11
